CustomerID,AssetID,UsageHours,CustName,CustAge
1,45,10,Customer_1,23
2,98,9,Customer_2,33
3,10,19,Customer_3,48
4,11,12,Customer_4,45
5,27,22,Customer_5,44
6,56,15,Customer_6,23
7,59,21,Customer_7,23
8,64,10,Customer_8,30
9,91,18,Customer_9,37
10,28,3,Customer_10,23
11,49,9,Customer_11,48
12,73,20,Customer_12,31
13,43,15,Customer_13,29
14,29,22,Customer_14,34
15,97,3,Customer_15,38
16,78,1,Customer_16,31
17,34,21,Customer_17,34
18,48,8,Customer_18,26
19,3,16,Customer_19,34
20,85,2,Customer_20,47
21,96,6,Customer_21,30
22,7,1,Customer_22,33
23,52,3,Customer_23,39
24,57,9,Customer_24,23
25,47,17,Customer_25,41
26,4,4,Customer_26,35
27,55,8,Customer_27,23
28,85,7,Customer_28,35
29,44,24,Customer_29,31
30,29,19,Customer_30,46
31,25,17,Customer_31,29
32,1,17,Customer_32,45
33,66,16,Customer_33,24
34,4,6,Customer_34,33
35,52,13,Customer_35,34
36,13,8,Customer_36,31
37,31,17,Customer_37,25
38,16,18,Customer_38,31
39,56,22,Customer_39,25
40,76,24,Customer_40,40
41,3,20,Customer_41,41
42,71,5,Customer_42,28
43,4,14,Customer_43,44
44,14,12,Customer_44,39
45,50,5,Customer_45,36
46,69,23,Customer_46,50
47,88,1,Customer_47,39
48,97,1,Customer_48,34
49,61,15,Customer_49,39
50,84,13,Customer_50,34
51,62,4,Customer_51,35
52,78,14,Customer_52,48
53,10,4,Customer_53,33
54,36,17,Customer_54,39
55,25,24,Customer_55,23
56,8,5,Customer_56,36
57,90,24,Customer_57,34
58,99,8,Customer_58,25
59,34,14,Customer_59,25
60,15,5,Customer_60,36
61,46,17,Customer_61,25
62,65,10,Customer_62,46
63,76,17,Customer_63,26
64,7,18,Customer_64,36
65,11,18,Customer_65,41
66,24,2,Customer_66,30
67,38,18,Customer_67,31
68,66,14,Customer_68,42
69,76,18,Customer_69,28
70,92,12,Customer_70,23
71,74,10,Customer_71,45
72,30,16,Customer_72,25
73,26,17,Customer_73,41
74,50,11,Customer_74,23
75,63,4,Customer_75,31
76,98,22,Customer_76,50
77,16,18,Customer_77,32
78,73,2,Customer_78,42
79,79,2,Customer_79,35
80,88,20,Customer_80,39
81,1,22,Customer_81,38
82,48,15,Customer_82,47
83,71,16,Customer_83,44
84,60,19,Customer_84,39
85,39,2,Customer_85,32
86,79,12,Customer_86,45
87,85,7,Customer_87,25
88,90,21,Customer_88,26
89,1,3,Customer_89,47
90,33,16,Customer_90,34
91,68,12,Customer_91,39
92,98,1,Customer_92,35
93,93,9,Customer_93,38
94,53,17,Customer_94,23
95,49,7,Customer_95,39
96,63,23,Customer_96,33
97,21,17,Customer_97,38
98,82,7,Customer_98,35
99,19,21,Customer_99,36
100,51,14,Customer_100,42
101,73,8,Customer_101,24
102,6,2,Customer_102,24
103,64,14,Customer_103,27
104,18,15,Customer_104,35
105,45,11,Customer_105,48
106,9,12,Customer_106,27
107,73,7,Customer_107,42
108,72,9,Customer_108,33
109,11,2,Customer_109,36
110,14,21,Customer_110,29
111,34,10,Customer_111,25
112,65,5,Customer_112,50
113,98,14,Customer_113,46
114,7,15,Customer_114,34
115,41,15,Customer_115,28
116,57,17,Customer_116,48
117,43,16,Customer_117,28
118,51,12,Customer_118,40
119,100,12,Customer_119,39
120,71,12,Customer_120,33
121,33,12,Customer_121,42
122,89,24,Customer_122,30
123,35,13,Customer_123,41
124,82,8,Customer_124,41
125,46,9,Customer_125,29
126,60,6,Customer_126,48
127,27,2,Customer_127,48
128,4,2,Customer_128,47
129,85,3,Customer_129,39
130,99,18,Customer_130,47
131,77,18,Customer_131,33
132,66,20,Customer_132,46
133,26,11,Customer_133,50
134,20,6,Customer_134,45
135,6,19,Customer_135,31
136,14,7,Customer_136,38
137,11,1,Customer_137,29
138,92,14,Customer_138,29
139,49,1,Customer_139,34
140,75,18,Customer_140,44
141,40,1,Customer_141,43
142,73,17,Customer_142,26
143,82,13,Customer_143,44
144,30,10,Customer_144,32
145,65,13,Customer_145,40
146,32,12,Customer_146,30
147,39,5,Customer_147,31
148,4,24,Customer_148,32
149,66,17,Customer_149,41
150,66,18,Customer_150,33
151,32,5,Customer_151,24
152,35,4,Customer_152,31
153,52,11,Customer_153,37
154,57,10,Customer_154,49
155,60,3,Customer_155,37
156,42,18,Customer_156,45
157,24,10,Customer_157,25
158,42,19,Customer_158,33
159,4,11,Customer_159,24
160,88,19,Customer_160,42
161,39,4,Customer_161,25
162,62,14,Customer_162,50
163,46,21,Customer_163,42
164,96,1,Customer_164,25
165,30,19,Customer_165,25
166,9,18,Customer_166,28
167,44,13,Customer_167,28
168,49,14,Customer_168,47
169,96,10,Customer_169,40
170,71,20,Customer_170,41
171,28,10,Customer_171,30
172,43,15,Customer_172,40
173,11,24,Customer_173,29
174,13,24,Customer_174,44
175,77,2,Customer_175,26
176,81,3,Customer_176,34
177,43,16,Customer_177,41
178,14,1,Customer_178,23
179,93,16,Customer_179,31
180,67,16,Customer_180,30
181,83,20,Customer_181,27
182,45,1,Customer_182,37
183,62,24,Customer_183,27
184,32,19,Customer_184,42
185,82,3,Customer_185,32
186,20,15,Customer_186,50
187,6,24,Customer_187,27
188,91,18,Customer_188,26
189,79,11,Customer_189,23
190,26,6,Customer_190,36
191,73,4,Customer_191,48
192,90,8,Customer_192,35
193,29,10,Customer_193,24
194,33,24,Customer_194,42
195,5,22,Customer_195,34
196,4,20,Customer_196,42
197,63,18,Customer_197,47
198,43,19,Customer_198,48
199,63,9,Customer_199,44
200,94,12,Customer_200,36
201,55,11,Customer_201,30
202,13,16,Customer_202,39
203,42,16,Customer_203,26
204,94,20,Customer_204,46
205,1,4,Customer_205,28
206,94,1,Customer_206,50
207,54,13,Customer_207,28
208,38,15,Customer_208,35
209,57,12,Customer_209,31
210,7,5,Customer_210,43
211,62,23,Customer_211,48
212,92,21,Customer_212,34
213,61,6,Customer_213,28
214,36,11,Customer_214,34
215,44,18,Customer_215,47
216,48,9,Customer_216,43
217,100,10,Customer_217,44
218,88,6,Customer_218,39
219,91,10,Customer_219,42
220,40,1,Customer_220,44
221,6,16,Customer_221,29
222,81,13,Customer_222,37
223,87,23,Customer_223,33
224,82,18,Customer_224,30
225,48,13,Customer_225,32
226,9,7,Customer_226,45
227,49,2,Customer_227,40
228,77,22,Customer_228,42
229,72,16,Customer_229,40
230,16,21,Customer_230,25
231,67,1,Customer_231,34
232,48,1,Customer_232,49
233,80,19,Customer_233,33
234,60,8,Customer_234,41
235,91,19,Customer_235,44
236,99,22,Customer_236,34
237,81,15,Customer_237,36
238,54,13,Customer_238,36
239,41,10,Customer_239,36
240,96,6,Customer_240,45
241,64,17,Customer_241,30
242,75,8,Customer_242,28
243,95,20,Customer_243,26
244,52,14,Customer_244,26
245,7,9,Customer_245,50
246,81,4,Customer_246,35
247,35,12,Customer_247,38
248,12,18,Customer_248,42
249,66,9,Customer_249,32
250,94,13,Customer_250,48
251,15,3,Customer_251,38
252,75,1,Customer_252,49
253,57,19,Customer_253,34
254,89,6,Customer_254,27
255,84,13,Customer_255,26
256,61,11,Customer_256,31
257,38,15,Customer_257,30
258,24,3,Customer_258,27
259,29,15,Customer_259,28
260,94,11,Customer_260,50
261,89,1,Customer_261,46
262,99,14,Customer_262,44
263,12,17,Customer_263,24
264,67,14,Customer_264,23
265,73,6,Customer_265,24
266,1,19,Customer_266,41
267,2,18,Customer_267,25
268,98,5,Customer_268,40
269,91,19,Customer_269,43
270,33,16,Customer_270,32
271,92,16,Customer_271,26
272,12,19,Customer_272,28
273,90,20,Customer_273,23
274,92,1,Customer_274,27
275,50,14,Customer_275,43
276,47,14,Customer_276,46
277,96,24,Customer_277,41
278,97,23,Customer_278,24
279,66,20,Customer_279,26
280,6,1,Customer_280,33
281,51,15,Customer_281,41
282,59,10,Customer_282,43
283,66,13,Customer_283,29
284,22,10,Customer_284,39
285,86,20,Customer_285,47
286,28,20,Customer_286,46
287,78,14,Customer_287,29
288,8,24,Customer_288,30
289,92,1,Customer_289,34
290,73,1,Customer_290,25
291,67,8,Customer_291,37
292,83,5,Customer_292,44
293,39,12,Customer_293,26
294,13,14,Customer_294,24
295,20,1,Customer_295,47
296,23,12,Customer_296,43
297,13,17,Customer_297,30
298,12,8,Customer_298,24
299,47,13,Customer_299,28
300,56,16,Customer_300,27
301,56,7,Customer_301,47
302,59,13,Customer_302,48
303,65,22,Customer_303,35
304,80,11,Customer_304,25
305,56,16,Customer_305,40
306,22,3,Customer_306,35
307,18,13,Customer_307,40
308,50,6,Customer_308,47
309,28,16,Customer_309,40
310,62,1,Customer_310,40
311,71,6,Customer_311,34
312,39,14,Customer_312,26
313,60,6,Customer_313,48
314,1,16,Customer_314,46
315,85,4,Customer_315,43
316,53,16,Customer_316,27
317,91,6,Customer_317,33
318,20,3,Customer_318,41
319,16,17,Customer_319,50
320,1,23,Customer_320,45
321,36,2,Customer_321,37
322,15,16,Customer_322,37
323,82,6,Customer_323,37
324,68,23,Customer_324,31
325,52,9,Customer_325,27
326,19,22,Customer_326,44
327,57,14,Customer_327,41
328,34,4,Customer_328,30
329,66,18,Customer_329,26
330,67,21,Customer_330,32
331,100,21,Customer_331,50
332,94,13,Customer_332,36
333,45,5,Customer_333,47
334,44,12,Customer_334,38
335,9,15,Customer_335,48
336,65,24,Customer_336,28
337,25,2,Customer_337,35
338,74,10,Customer_338,44
339,88,8,Customer_339,44
340,1,14,Customer_340,37
341,99,4,Customer_341,45
342,10,16,Customer_342,47
343,24,15,Customer_343,24
344,83,23,Customer_344,33
345,8,3,Customer_345,45
346,98,5,Customer_346,34
347,13,3,Customer_347,28
348,73,5,Customer_348,46
349,100,15,Customer_349,44
350,46,21,Customer_350,45
351,50,19,Customer_351,38
352,5,14,Customer_352,32
353,77,6,Customer_353,47
